session_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,flow_count
89.181.158.238:None->192.168.1.38:None-6,89.181.158.238,192.168.1.38,,,6,8,14632,1
192.168.1.38:None->89.181.158.238:None-6,192.168.1.38,89.181.158.238,,,6,9,709,1
192.168.1.38:None->224.0.0.22:None-2,192.168.1.38,224.0.0.22,,,2,1,54,1
192.168.1.38:None->104.208.16.90:None-6,192.168.1.38,104.208.16.90,,,6,7,8237,1
36.236.64.74:None->192.168.1.38:None-6,36.236.64.74,192.168.1.38,,,6,1,62,1
192.168.1.38:None->36.236.64.74:None-6,192.168.1.38,36.236.64.74,,,6,2,340,1
92.247.174.151:None->192.168.1.38:None-6,92.247.174.151,192.168.1.38,,,6,10,14740,1
192.168.1.38:None->92.247.174.151:None-6,192.168.1.38,92.247.174.151,,,6,10,788,1
217.42.82.216:None->192.168.1.38:None-17,217.42.82.216,192.168.1.38,,,17,25,36100,1
192.168.1.38:None->217.42.82.216:None-17,192.168.1.38,217.42.82.216,,,17,16,1054,1
81.84.97.11:None->192.168.1.38:None-6,81.84.97.11,192.168.1.38,,,6,4,5896,1
192.168.1.38:None->81.84.97.11:None-6,192.168.1.38,81.84.97.11,,,6,4,264,1
20.42.65.90:None->192.168.1.38:None-6,20.42.65.90,192.168.1.38,,,6,1,62,1
192.168.1.38:None->20.42.65.90:None-6,192.168.1.38,20.42.65.90,,,6,2,625,1
89.181.158.238:None->192.168.1.38:None-6,89.181.158.238,192.168.1.38,,,6,21,33794,2
192.168.1.38:None->89.181.158.238:None-6,192.168.1.38,89.181.158.238,,,6,15,1033,2
192.168.1.38:None->224.0.0.22:None-2,192.168.1.38,224.0.0.22,,,2,1,54,1
192.168.1.38:None->104.208.16.90:None-6,192.168.1.38,104.208.16.90,,,6,7,8237,1
36.236.64.74:None->192.168.1.38:None-6,36.236.64.74,192.168.1.38,,,6,1,62,1
192.168.1.38:None->36.236.64.74:None-6,192.168.1.38,36.236.64.74,,,6,2,340,1
92.247.174.151:None->192.168.1.38:None-6,92.247.174.151,192.168.1.38,,,6,14,20636,2
192.168.1.38:None->92.247.174.151:None-6,192.168.1.38,92.247.174.151,,,6,13,950,2
217.42.82.216:None->192.168.1.38:None-17,217.42.82.216,192.168.1.38,,,17,43,60710,2
192.168.1.38:None->217.42.82.216:None-17,192.168.1.38,217.42.82.216,,,17,31,2043,2
81.84.97.11:None->192.168.1.38:None-6,81.84.97.11,192.168.1.38,,,6,6,8844,2
192.168.1.38:None->81.84.97.11:None-6,192.168.1.38,81.84.97.11,,,6,5,318,2
20.42.65.90:None->192.168.1.38:None-6,20.42.65.90,192.168.1.38,,,6,1,62,1
192.168.1.38:None->20.42.65.90:None-6,192.168.1.38,20.42.65.90,,,6,2,625,1
67.174.154.26:None->192.168.1.38:None-6,67.174.154.26,192.168.1.38,,,6,18,26532,1
192.168.1.38:None->67.174.154.26:None-6,192.168.1.38,67.174.154.26,,,6,18,1006,1
91.170.48.164:None->192.168.1.38:None-6,91.170.48.164,192.168.1.38,,,6,1,54,1
192.168.1.38:None->77.91.229.218:None-6,192.168.1.38,77.91.229.218,,,6,1,62,1
89.181.158.238:None->192.168.1.38:None-6,89.181.158.238,192.168.1.38,,,6,31,48534,3
192.168.1.38:None->89.181.158.238:None-6,192.168.1.38,89.181.158.238,,,6,20,1303,3
192.168.1.38:None->224.0.0.22:None-2,192.168.1.38,224.0.0.22,,,2,1,54,1
192.168.1.38:None->104.208.16.90:None-6,192.168.1.38,104.208.16.90,,,6,7,8237,1
36.236.64.74:None->192.168.1.38:None-6,36.236.64.74,192.168.1.38,,,6,1,62,1
192.168.1.38:None->36.236.64.74:None-6,192.168.1.38,36.236.64.74,,,6,2,340,1
92.247.174.151:None->192.168.1.38:None-6,92.247.174.151,192.168.1.38,,,6,28,44112,3
192.168.1.38:None->92.247.174.151:None-6,192.168.1.38,92.247.174.151,,,6,21,1382,3
217.42.82.216:None->192.168.1.38:None-17,217.42.82.216,192.168.1.38,,,17,58,82370,3
192.168.1.38:None->217.42.82.216:None-17,192.168.1.38,217.42.82.216,,,17,41,2680,3
81.84.97.11:None->192.168.1.38:None-6,81.84.97.11,192.168.1.38,,,6,12,17688,3
192.168.1.38:None->81.84.97.11:None-6,192.168.1.38,81.84.97.11,,,6,8,480,3
20.42.65.90:None->192.168.1.38:None-6,20.42.65.90,192.168.1.38,,,6,1,62,1
192.168.1.38:None->20.42.65.90:None-6,192.168.1.38,20.42.65.90,,,6,2,625,1
67.174.154.26:None->192.168.1.38:None-6,67.174.154.26,192.168.1.38,,,6,29,44166,2
192.168.1.38:None->67.174.154.26:None-6,192.168.1.38,67.174.154.26,,,6,29,1600,2
91.170.48.164:None->192.168.1.38:None-6,91.170.48.164,192.168.1.38,,,6,1,54,1
192.168.1.38:None->77.91.229.218:None-6,192.168.1.38,77.91.229.218,,,6,1,62,1
104.16.102.112:None->192.168.1.38:None-6,104.16.102.112,192.168.1.38,,,6,4,598,1
192.168.1.38:None->104.16.102.112:None-6,192.168.1.38,104.16.102.112,,,6,2,151,1
192.168.1.38:None->188.51.226.235:None-6,192.168.1.38,188.51.226.235,,,6,1,54,1
89.181.158.238:None->192.168.1.38:None-6,89.181.158.238,192.168.1.38,,,6,38,58852,4
192.168.1.38:None->89.181.158.238:None-6,192.168.1.38,89.181.158.238,,,6,27,1690,4
192.168.1.38:None->224.0.0.22:None-2,192.168.1.38,224.0.0.22,,,2,1,54,1
192.168.1.38:None->104.208.16.90:None-6,192.168.1.38,104.208.16.90,,,6,7,8237,1
36.236.64.74:None->192.168.1.38:None-6,36.236.64.74,192.168.1.38,,,6,1,62,1
192.168.1.38:None->36.236.64.74:None-6,192.168.1.38,36.236.64.74,,,6,2,340,1
