src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count
67.174.154.26,192.168.1.38,,,6,3,4422
192.168.1.38,67.174.154.26,,,6,3,162
217.79.74.139,192.168.1.38,,,17,1,62
91.170.48.164,192.168.1.38,,,6,3,4022
192.168.1.38,91.170.48.164,,,6,2,108
217.42.82.216,192.168.1.38,,,17,23,30448
92.247.174.151,192.168.1.38,,,6,17,25058
192.168.1.38,92.247.174.151,,,6,15,810
81.84.97.11,192.168.1.38,,,6,3,7262
192.168.1.38,81.84.97.11,,,6,3,162
192.168.1.38,217.42.82.216,,,17,13,823
192.168.1.38,104.208.16.90,,,6,8,8166
192.168.1.38,9.9.9.9,,,17,1,92
89.181.158.238,192.168.1.38,,,6,1,54
83.219.212.56,192.168.1.38,,,6,1,54
104.208.16.90,192.168.1.38,,,6,3,261
67.174.154.26,192.168.1.38,,,6,23,36742
192.168.1.38,67.174.154.26,,,6,21,1168
71.183.90.8,192.168.1.38,,,6,1,54
178.162.173.134,192.168.1.38,,,6,1,54
192.168.1.38,83.219.212.56,,,6,1,63
81.84.97.11,192.168.1.38,,,6,11,16214
174.95.50.173,192.168.1.38,,,6,1,54
192.168.1.38,81.84.97.11,,,6,11,628
192.168.1.38,77.91.229.218,,,6,1,62
184.160.237.73,192.168.1.38,,,6,1,54
89.181.158.238,192.168.1.38,,,6,3,10102
192.168.1.38,89.181.158.238,,,6,3,162
92.247.174.151,192.168.1.38,,,6,12,23368
192.168.1.38,92.247.174.151,,,6,10,591
81.84.97.11,192.168.1.38,,,6,6,10264
192.168.1.38,81.84.97.11,,,6,6,358
67.174.154.26,192.168.1.38,,,6,15,24950
192.168.1.38,67.174.154.26,,,6,14,924
217.42.82.216,192.168.1.38,,,17,31,42000
192.168.1.38,217.42.82.216,,,17,22,1424
92.247.174.151,192.168.1.38,,,6,2,2948
192.168.1.38,92.247.174.151,,,6,2,132
192.168.1.38,140.82.113.25,,,6,1,59
217.79.74.139,192.168.1.38,,,17,1,62
67.174.154.26,192.168.1.38,,,6,21,38054
81.84.97.11,192.168.1.38,,,6,4,8736
82.154.111.172,192.168.1.38,,,6,1,54
192.168.1.38,67.174.154.26,,,6,18,1006
192.168.1.38,81.84.97.11,,,6,2,108
217.42.82.216,192.168.1.38,,,17,2,124
92.247.174.151,192.168.1.38,,,6,9,14686
192.168.1.38,92.247.174.151,,,6,8,432
89.181.158.238,192.168.1.38,,,6,20,40840
192.168.1.38,89.181.158.238,,,6,15,861
81.84.97.11,192.168.1.38,,,6,9,14686
192.168.1.38,81.84.97.11,,,6,9,495
89.181.158.238,192.168.1.38,,,6,16,25004
192.168.1.38,89.181.158.238,,,6,10,566
92.247.174.151,192.168.1.38,,,6,8,16052
192.168.1.38,92.247.174.151,,,6,7,438
71.183.90.8,192.168.1.38,,,6,3,51282
192.168.1.38,71.183.90.8,,,6,3,196
217.42.82.216,192.168.1.38,,,17,20,26116
192.168.1.38,217.42.82.216,,,17,9,584
192.168.1.38,217.79.74.139,,,17,1,71
192.168.1.38,178.162.173.134,,,6,1,63
192.168.1.38,188.51.226.235,,,6,1,63
192.168.1.38,83.219.212.56,,,6,1,63
192.168.1.38,184.160.237.73,,,6,1,63
192.168.1.38,174.95.50.173,,,6,1,63
83.219.212.56,192.168.1.38,,,6,1,54
192.168.1.38,83.219.212.56,,,6,1,63
81.84.97.11,192.168.1.38,,,6,7,10318
192.168.1.38,81.84.97.11,,,6,6,358
217.42.82.216,192.168.1.38,,,17,3,186
89.181.158.238,192.168.1.38,,,6,1,54
67.174.154.26,192.168.1.38,,,6,19,32266
192.168.1.38,67.174.154.26,,,6,19,1060
178.162.173.134,192.168.1.38,,,6,1,54
192.168.1.38,178.162.173.134,,,6,1,63
188.51.226.235,192.168.1.38,,,6,1,54
192.168.1.38,188.51.226.235,,,6,1,63
192.168.1.38,172.64.155.209,,,17,6,6525
172.64.155.209,192.168.1.38,,,17,4,264
92.247.174.151,192.168.1.38,,,6,15,29210
192.168.1.38,92.247.174.151,,,6,14,790
81.84.97.11,192.168.1.38,,,6,2,2948
192.168.1.38,81.84.97.11,,,6,2,108
71.183.90.8,192.168.1.38,,,6,1,2894
192.168.1.38,71.183.90.8,,,6,1,71
92.247.174.151,192.168.1.38,,,6,24,39636
192.168.1.38,92.247.174.151,,,6,16,898
67.174.154.26,192.168.1.38,,,6,21,32374
192.168.1.38,67.174.154.26,,,6,21,1168
217.42.82.216,192.168.1.38,,,17,10,14440
192.168.1.38,217.42.82.216,,,17,2,141
81.84.97.11,192.168.1.38,,,6,12,19108
192.168.1.38,81.84.97.11,,,6,11,702
67.174.154.26,192.168.1.38,,,6,2,4368
192.168.1.38,67.174.154.26,,,6,2,108
85.166.182.43,192.168.1.38,,,6,1,54
71.183.90.8,192.168.1.38,,,6,35,67210
192.168.1.38,85.166.182.43,,,6,2,176
192.168.1.38,71.183.90.8,,,6,35,1924
71.183.90.8,192.168.1.38,,,6,4,22936
192.168.1.38,71.183.90.8,,,6,5,304
192.168.1.38,60.188.86.118,,,17,1,146
89.181.158.238,192.168.1.38,,,6,14,26316
192.168.1.38,89.181.158.238,,,6,13,736
67.174.154.26,192.168.1.38,,,6,5,10210
92.247.174.151,192.168.1.38,,,6,13,41882
192.168.1.38,67.174.154.26,,,6,4,250
192.168.1.38,92.247.174.151,,,6,10,591
81.84.97.11,192.168.1.38,,,6,6,10264
192.168.1.38,81.84.97.11,,,6,6,370
217.42.82.216,192.168.1.38,,,17,14,16070
192.168.1.38,217.42.82.216,,,17,5,327
217.42.82.216,192.168.1.38,,,17,18,24610
192.168.1.38,217.42.82.216,,,17,7,462
71.183.90.8,192.168.1.38,,,6,4,5896
192.168.1.38,71.183.90.8,,,6,4,264
217.79.74.139,192.168.1.38,,,17,1,62
89.181.158.238,192.168.1.38,,,6,25,42530
192.168.1.38,89.181.158.238,,,6,23,1259
67.174.154.26,192.168.1.38,,,6,8,11792
192.168.1.38,67.174.154.26,,,6,6,350
81.84.97.11,192.168.1.38,,,6,2,2948
192.168.1.38,81.84.97.11,,,6,2,108
217.42.82.216,192.168.1.38,,,17,14,16070
81.84.97.11,192.168.1.38,,,6,5,7370
192.168.1.38,81.84.97.11,,,6,3,162
67.174.154.26,192.168.1.38,,,6,13,24842
192.168.1.38,67.174.154.26,,,6,11,611
89.181.158.238,192.168.1.38,,,6,17,26478
192.168.1.38,89.181.158.238,,,6,8,466
71.183.90.8,192.168.1.38,,,6,5,28670
192.168.1.38,71.183.90.8,,,6,6,358
