session_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,flow_count
67.174.154.26:None->192.168.1.38:None-6,67.174.154.26,192.168.1.38,,,6,3,4422,1
192.168.1.38:None->67.174.154.26:None-6,192.168.1.38,67.174.154.26,,,6,3,162,1
217.79.74.139:None->192.168.1.38:None-17,217.79.74.139,192.168.1.38,,,17,1,62,1
91.170.48.164:None->192.168.1.38:None-6,91.170.48.164,192.168.1.38,,,6,3,4022,1
192.168.1.38:None->91.170.48.164:None-6,192.168.1.38,91.170.48.164,,,6,2,108,1
217.42.82.216:None->192.168.1.38:None-17,217.42.82.216,192.168.1.38,,,17,23,30448,1
92.247.174.151:None->192.168.1.38:None-6,92.247.174.151,192.168.1.38,,,6,17,25058,1
192.168.1.38:None->92.247.174.151:None-6,192.168.1.38,92.247.174.151,,,6,15,810,1
81.84.97.11:None->192.168.1.38:None-6,81.84.97.11,192.168.1.38,,,6,3,7262,1
192.168.1.38:None->81.84.97.11:None-6,192.168.1.38,81.84.97.11,,,6,3,162,1
192.168.1.38:None->217.42.82.216:None-17,192.168.1.38,217.42.82.216,,,17,13,823,1
192.168.1.38:None->104.208.16.90:None-6,192.168.1.38,104.208.16.90,,,6,8,8166,1
192.168.1.38:None->9.9.9.9:None-17,192.168.1.38,9.9.9.9,,,17,1,92,1
89.181.158.238:None->192.168.1.38:None-6,89.181.158.238,192.168.1.38,,,6,1,54,1
83.219.212.56:None->192.168.1.38:None-6,83.219.212.56,192.168.1.38,,,6,1,54,1
104.208.16.90:None->192.168.1.38:None-6,104.208.16.90,192.168.1.38,,,6,3,261,1
67.174.154.26:None->192.168.1.38:None-6,67.174.154.26,192.168.1.38,,,6,26,41164,2
192.168.1.38:None->67.174.154.26:None-6,192.168.1.38,67.174.154.26,,,6,24,1330,2
217.79.74.139:None->192.168.1.38:None-17,217.79.74.139,192.168.1.38,,,17,1,62,1
91.170.48.164:None->192.168.1.38:None-6,91.170.48.164,192.168.1.38,,,6,3,4022,1
192.168.1.38:None->91.170.48.164:None-6,192.168.1.38,91.170.48.164,,,6,2,108,1
217.42.82.216:None->192.168.1.38:None-17,217.42.82.216,192.168.1.38,,,17,23,30448,1
92.247.174.151:None->192.168.1.38:None-6,92.247.174.151,192.168.1.38,,,6,29,48426,2
192.168.1.38:None->92.247.174.151:None-6,192.168.1.38,92.247.174.151,,,6,25,1401,2
81.84.97.11:None->192.168.1.38:None-6,81.84.97.11,192.168.1.38,,,6,14,23476,2
192.168.1.38:None->81.84.97.11:None-6,192.168.1.38,81.84.97.11,,,6,14,790,2
192.168.1.38:None->217.42.82.216:None-17,192.168.1.38,217.42.82.216,,,17,13,823,1
192.168.1.38:None->104.208.16.90:None-6,192.168.1.38,104.208.16.90,,,6,8,8166,1
192.168.1.38:None->9.9.9.9:None-17,192.168.1.38,9.9.9.9,,,17,1,92,1
89.181.158.238:None->192.168.1.38:None-6,89.181.158.238,192.168.1.38,,,6,4,10156,2
83.219.212.56:None->192.168.1.38:None-6,83.219.212.56,192.168.1.38,,,6,1,54,1
104.208.16.90:None->192.168.1.38:None-6,104.208.16.90,192.168.1.38,,,6,3,261,1
71.183.90.8:None->192.168.1.38:None-6,71.183.90.8,192.168.1.38,,,6,1,54,1
178.162.173.134:None->192.168.1.38:None-6,178.162.173.134,192.168.1.38,,,6,1,54,1
192.168.1.38:None->83.219.212.56:None-6,192.168.1.38,83.219.212.56,,,6,1,63,1
174.95.50.173:None->192.168.1.38:None-6,174.95.50.173,192.168.1.38,,,6,1,54,1
192.168.1.38:None->77.91.229.218:None-6,192.168.1.38,77.91.229.218,,,6,1,62,1
184.160.237.73:None->192.168.1.38:None-6,184.160.237.73,192.168.1.38,,,6,1,54,1
192.168.1.38:None->89.181.158.238:None-6,192.168.1.38,89.181.158.238,,,6,3,162,1
67.174.154.26:None->192.168.1.38:None-6,67.174.154.26,192.168.1.38,,,6,41,66114,3
192.168.1.38:None->67.174.154.26:None-6,192.168.1.38,67.174.154.26,,,6,38,2254,3
217.79.74.139:None->192.168.1.38:None-17,217.79.74.139,192.168.1.38,,,17,2,124,2
91.170.48.164:None->192.168.1.38:None-6,91.170.48.164,192.168.1.38,,,6,3,4022,1
192.168.1.38:None->91.170.48.164:None-6,192.168.1.38,91.170.48.164,,,6,2,108,1
217.42.82.216:None->192.168.1.38:None-17,217.42.82.216,192.168.1.38,,,17,54,72448,2
92.247.174.151:None->192.168.1.38:None-6,92.247.174.151,192.168.1.38,,,6,31,51374,3
192.168.1.38:None->92.247.174.151:None-6,192.168.1.38,92.247.174.151,,,6,27,1533,3
81.84.97.11:None->192.168.1.38:None-6,81.84.97.11,192.168.1.38,,,6,20,33740,3
192.168.1.38:None->81.84.97.11:None-6,192.168.1.38,81.84.97.11,,,6,20,1148,3
192.168.1.38:None->217.42.82.216:None-17,192.168.1.38,217.42.82.216,,,17,35,2247,2
192.168.1.38:None->104.208.16.90:None-6,192.168.1.38,104.208.16.90,,,6,8,8166,1
192.168.1.38:None->9.9.9.9:None-17,192.168.1.38,9.9.9.9,,,17,1,92,1
89.181.158.238:None->192.168.1.38:None-6,89.181.158.238,192.168.1.38,,,6,4,10156,2
83.219.212.56:None->192.168.1.38:None-6,83.219.212.56,192.168.1.38,,,6,1,54,1
104.208.16.90:None->192.168.1.38:None-6,104.208.16.90,192.168.1.38,,,6,3,261,1
71.183.90.8:None->192.168.1.38:None-6,71.183.90.8,192.168.1.38,,,6,1,54,1
178.162.173.134:None->192.168.1.38:None-6,178.162.173.134,192.168.1.38,,,6,1,54,1
192.168.1.38:None->83.219.212.56:None-6,192.168.1.38,83.219.212.56,,,6,1,63,1
174.95.50.173:None->192.168.1.38:None-6,174.95.50.173,192.168.1.38,,,6,1,54,1
192.168.1.38:None->77.91.229.218:None-6,192.168.1.38,77.91.229.218,,,6,1,62,1
184.160.237.73:None->192.168.1.38:None-6,184.160.237.73,192.168.1.38,,,6,1,54,1
192.168.1.38:None->89.181.158.238:None-6,192.168.1.38,89.181.158.238,,,6,3,162,1
192.168.1.38:None->140.82.113.25:None-6,192.168.1.38,140.82.113.25,,,6,1,59,1
67.174.154.26:None->192.168.1.38:None-6,67.174.154.26,192.168.1.38,,,6,62,104168,4
192.168.1.38:None->67.174.154.26:None-6,192.168.1.38,67.174.154.26,,,6,56,3260,4
217.79.74.139:None->192.168.1.38:None-17,217.79.74.139,192.168.1.38,,,17,2,124,2
91.170.48.164:None->192.168.1.38:None-6,91.170.48.164,192.168.1.38,,,6,3,4022,1
